service_id,date,exception_type
21-MAR_JG-PON_0,20210427,1
21-MAR_LW-PON_0,20210427,1
21-MAR_MPON_0,20210427,1
21-MAR_NH-AON_0,20210427,1
21-MAR_NH-PON_0,20210427,1
21-MAR_RR-AON_0,20210427,1
21-MAR_RR-PON_0,20210427,1
21-MAR_UWON_0,20210427,1
21-MAR_WN-AON_0,20210427,1
21-MAR_WN-PON_0,20210427,1
21-MAR_B2-630ON_0,20210427,1
21-MAR_LW-AON_0,20210427,1
21-MAR_AMZON_0,20210427,1
21-MAR_B2-1ON_0,20210428,1
21-MAR_JG-PON_0,20210428,1
21-MAR_LW-PON_0,20210428,1
21-MAR_MPON_0,20210428,1
21-MAR_RR-AON_0,20210428,1
21-MAR_RR-PON_0,20210428,1
21-MAR_UWON_0,20210428,1
21-MAR_WN-AON_0,20210428,1
21-MAR_WN-PON_0,20210428,1
21-MAR_LW-AON_0,20210428,1
21-MAR_AMZON_0,20210428,1
21-MAR_JG-PON_0,20210429,1
21-MAR_LW-PON_0,20210429,1
21-MAR_MPON_0,20210429,1
21-MAR_NH-AON_0,20210429,1
21-MAR_NH-PON_0,20210429,1
21-MAR_RR-AON_0,20210429,1
21-MAR_RR-PON_0,20210429,1
21-MAR_UWON_0,20210429,1
21-MAR_WN-AON_0,20210429,1
21-MAR_WN-PON_0,20210429,1
21-MAR_B2-630ON_0,20210429,1
21-MAR_LW-AON_0,20210429,1
21-MAR_AMZON_0,20210429,1
21-MAR_JG-PON_0,20210430,1
21-MAR_LW-PON_0,20210430,1
21-MAR_MPON_0,20210430,1
21-MAR_NH-AON_0,20210430,1
21-MAR_NH-PON_0,20210430,1
21-MAR_RR-AON_0,20210430,1
21-MAR_RR-PON_0,20210430,1
21-MAR_UWON_0,20210430,1
21-MAR_WN-AON_0,20210430,1
21-MAR_WN-PON_0,20210430,1
21-MAR_B2-630ON_0,20210430,1
21-MAR_LW-AON_0,20210430,1
21-MAR_AMZON_0,20210430,1
21-MAR_B2-630ON_5,20210501,1
21-MAR_AMZON_5,20210501,1
21-MAR_B2-1ON_6,20210502,1
21-MAR_AMZON_6,20210502,1
21-MAR_DE-PON_0,20210503,1
21-MAR_JG-PON_0,20210503,1
21-MAR_LW-PON_0,20210503,1
21-MAR_MPON_0,20210503,1
21-MAR_MS-PON_0,20210503,1
21-MAR_NH-AON_0,20210503,1
21-MAR_NH-PON_0,20210503,1
21-MAR_RR-AON_0,20210503,1
21-MAR_RR-PON_0,20210503,1
21-MAR_UWON_0,20210503,1
21-MAR_WN-AON_0,20210503,1
21-MAR_WN-PON_0,20210503,1
21-MAR_DE-AON_0,20210503,1
21-MAR_LW-AON_0,20210503,1
21-MAR_AMZON_0,20210503,1
21-MAR_DE-PON_0,20210504,1
21-MAR_JG-PON_0,20210504,1
21-MAR_LW-PON_0,20210504,1
21-MAR_MPON_0,20210504,1
21-MAR_MS-PON_0,20210504,1
21-MAR_NH-AON_0,20210504,1
21-MAR_NH-PON_0,20210504,1
21-MAR_RR-AON_0,20210504,1
21-MAR_RR-PON_0,20210504,1
21-MAR_UWON_0,20210504,1
21-MAR_WN-AON_0,20210504,1
21-MAR_WN-PON_0,20210504,1
21-MAR_DE-AON_0,20210504,1
21-MAR_LW-AON_0,20210504,1
21-MAR_AMZON_0,20210504,1
21-MAR_DE-PON_0,20210505,1
21-MAR_JG-PON_0,20210505,1
21-MAR_LW-PON_0,20210505,1
21-MAR_MPON_0,20210505,1
21-MAR_MS-PON_0,20210505,1
21-MAR_NH-AON_0,20210505,1
21-MAR_NH-PON_0,20210505,1
21-MAR_RR-AON_0,20210505,1
21-MAR_RR-PON_0,20210505,1
21-MAR_UWON_0,20210505,1
21-MAR_WN-AON_0,20210505,1
21-MAR_WN-PON_0,20210505,1
21-MAR_DE-AON_0,20210505,1
21-MAR_LW-AON_0,20210505,1
21-MAR_AMZON_0,20210505,1
21-MAR_DE-PON_0,20210506,1
21-MAR_JG-PON_0,20210506,1
21-MAR_LW-PON_0,20210506,1
21-MAR_MPON_0,20210506,1
21-MAR_MS-PON_0,20210506,1
21-MAR_NH-AON_0,20210506,1
21-MAR_NH-PON_0,20210506,1
21-MAR_RR-AON_0,20210506,1
21-MAR_RR-PON_0,20210506,1
21-MAR_UWON_0,20210506,1
21-MAR_WN-AON_0,20210506,1
21-MAR_WN-PON_0,20210506,1
21-MAR_DE-AON_0,20210506,1
21-MAR_LW-AON_0,20210506,1
21-MAR_AMZON_0,20210506,1
21-MAR_DE-PON_0,20210507,1
21-MAR_JG-PON_0,20210507,1
21-MAR_LW-PON_0,20210507,1
21-MAR_MPON_0,20210507,1
21-MAR_MS-PON_0,20210507,1
21-MAR_NH-AON_0,20210507,1
21-MAR_NH-PON_0,20210507,1
21-MAR_RR-AON_0,20210507,1
21-MAR_RR-PON_0,20210507,1
21-MAR_UWON_0,20210507,1
21-MAR_WN-AON_0,20210507,1
21-MAR_WN-PON_0,20210507,1
21-MAR_DE-AON_0,20210507,1
21-MAR_LW-AON_0,20210507,1
21-MAR_AMZON_0,20210507,1
21-MAR_AMZON_5,20210508,1
21-MAR_AMZON_6,20210509,1
21-MAR_DE-PON_0,20210510,1
21-MAR_JG-PON_0,20210510,1
21-MAR_LW-PON_0,20210510,1
21-MAR_MPON_0,20210510,1
21-MAR_MS-PON_0,20210510,1
21-MAR_NH-AON_0,20210510,1
21-MAR_NH-PON_0,20210510,1
21-MAR_RR-AON_0,20210510,1
21-MAR_RR-PON_0,20210510,1
21-MAR_UWON_0,20210510,1
21-MAR_WN-AON_0,20210510,1
21-MAR_WN-PON_0,20210510,1
21-MAR_DE-AON_0,20210510,1
21-MAR_LW-AON_0,20210510,1
21-MAR_AMZON_0,20210510,1
21-MAR_DE-PON_0,20210511,1
21-MAR_JG-PON_0,20210511,1
21-MAR_LW-PON_0,20210511,1
21-MAR_MPON_0,20210511,1
21-MAR_MS-PON_0,20210511,1
21-MAR_NH-AON_0,20210511,1
21-MAR_NH-PON_0,20210511,1
21-MAR_RR-AON_0,20210511,1
21-MAR_RR-PON_0,20210511,1
21-MAR_UWON_0,20210511,1
21-MAR_WN-AON_0,20210511,1
21-MAR_WN-PON_0,20210511,1
21-MAR_DE-AON_0,20210511,1
21-MAR_B2-630ON_0,20210511,1
21-MAR_LW-AON_0,20210511,1
21-MAR_AMZON_0,20210511,1
21-MAR_DE-PON_0,20210512,1
21-MAR_JG-PON_0,20210512,1
21-MAR_LW-PON_0,20210512,1
21-MAR_MPON_0,20210512,1
21-MAR_MS-PON_0,20210512,1
21-MAR_NH-AON_0,20210512,1
21-MAR_NH-PON_0,20210512,1
21-MAR_RR-AON_0,20210512,1
21-MAR_RR-PON_0,20210512,1
21-MAR_UWON_0,20210512,1
21-MAR_WN-AON_0,20210512,1
21-MAR_WN-PON_0,20210512,1
21-MAR_DE-AON_0,20210512,1
21-MAR_B2-630ON_0,20210512,1
21-MAR_LW-AON_0,20210512,1
21-MAR_AMZON_0,20210512,1
21-MAR_B2-1ON_0,20210513,1
21-MAR_DE-PON_0,20210513,1
21-MAR_JG-PON_0,20210513,1
21-MAR_LW-PON_0,20210513,1
21-MAR_MPON_0,20210513,1
21-MAR_MS-PON_0,20210513,1
21-MAR_NH-AON_0,20210513,1
21-MAR_NH-PON_0,20210513,1
21-MAR_RR-AON_0,20210513,1
21-MAR_RR-PON_0,20210513,1
21-MAR_UWON_0,20210513,1
21-MAR_WN-AON_0,20210513,1
21-MAR_WN-PON_0,20210513,1
21-MAR_DE-AON_0,20210513,1
21-MAR_LW-AON_0,20210513,1
21-MAR_AMZON_0,20210513,1
21-MAR_DE-PON_0,20210514,1
21-MAR_JG-PON_0,20210514,1
21-MAR_LW-PON_0,20210514,1
21-MAR_MPON_0,20210514,1
21-MAR_MS-PON_0,20210514,1
21-MAR_NH-AON_0,20210514,1
21-MAR_NH-PON_0,20210514,1
21-MAR_RR-AON_0,20210514,1
21-MAR_RR-PON_0,20210514,1
21-MAR_UWON_0,20210514,1
21-MAR_WN-AON_0,20210514,1
21-MAR_WN-PON_0,20210514,1
21-MAR_DE-AON_0,20210514,1
21-MAR_B2-630ON_0,20210514,1
21-MAR_LW-AON_0,20210514,1
21-MAR_AMZON_0,20210514,1
21-MAR_B2-630ON_5,20210515,1
21-MAR_AMZON_5,20210515,1
21-MAR_B2-1ON_6,20210516,1
21-MAR_AMZON_6,20210516,1
21-MAR_DE-PON_0,20210517,1
21-MAR_JG-PON_0,20210517,1
21-MAR_LW-PON_0,20210517,1
21-MAR_MPON_0,20210517,1
21-MAR_MS-PON_0,20210517,1
21-MAR_NH-AON_0,20210517,1
21-MAR_NH-PON_0,20210517,1
21-MAR_RR-AON_0,20210517,1
21-MAR_RR-PON_0,20210517,1
21-MAR_UWON_0,20210517,1
21-MAR_WN-AON_0,20210517,1
21-MAR_WN-PON_0,20210517,1
21-MAR_DE-AON_0,20210517,1
21-MAR_LW-AON_0,20210517,1
21-MAR_AMZON_0,20210517,1
21-MAR_DE-PON_0,20210518,1
21-MAR_JG-PON_0,20210518,1
21-MAR_LW-PON_0,20210518,1
21-MAR_MPON_0,20210518,1
21-MAR_MS-PON_0,20210518,1
21-MAR_NH-AON_0,20210518,1
21-MAR_NH-PON_0,20210518,1
21-MAR_RR-AON_0,20210518,1
21-MAR_RR-PON_0,20210518,1
21-MAR_UWON_0,20210518,1
21-MAR_WN-AON_0,20210518,1
21-MAR_WN-PON_0,20210518,1
21-MAR_DE-AON_0,20210518,1
21-MAR_LW-AON_0,20210518,1
21-MAR_AMZON_0,20210518,1
21-MAR_DE-PON_0,20210519,1
21-MAR_JG-PON_0,20210519,1
21-MAR_LW-PON_0,20210519,1
21-MAR_MPON_0,20210519,1
21-MAR_MS-PON_0,20210519,1
21-MAR_NH-AON_0,20210519,1
21-MAR_NH-PON_0,20210519,1
21-MAR_RR-AON_0,20210519,1
21-MAR_RR-PON_0,20210519,1
21-MAR_UWON_0,20210519,1
21-MAR_WN-AON_0,20210519,1
21-MAR_WN-PON_0,20210519,1
21-MAR_DE-AON_0,20210519,1
21-MAR_LW-AON_0,20210519,1
21-MAR_AMZON_0,20210519,1
21-MAR_DE-PON_0,20210520,1
21-MAR_JG-PON_0,20210520,1
21-MAR_LW-PON_0,20210520,1
21-MAR_MPON_0,20210520,1
21-MAR_MS-PON_0,20210520,1
21-MAR_NH-AON_0,20210520,1
21-MAR_NH-PON_0,20210520,1
21-MAR_RR-AON_0,20210520,1
21-MAR_RR-PON_0,20210520,1
21-MAR_UWON_0,20210520,1
21-MAR_WN-AON_0,20210520,1
21-MAR_WN-PON_0,20210520,1
21-MAR_DE-AON_0,20210520,1
21-MAR_LW-AON_0,20210520,1
21-MAR_AMZON_0,20210520,1
21-MAR_DE-PON_0,20210521,1
21-MAR_JG-PON_0,20210521,1
21-MAR_LW-PON_0,20210521,1
21-MAR_MPON_0,20210521,1
21-MAR_MS-PON_0,20210521,1
21-MAR_NH-AON_0,20210521,1
21-MAR_NH-PON_0,20210521,1
21-MAR_RR-AON_0,20210521,1
21-MAR_RR-PON_0,20210521,1
21-MAR_UWON_0,20210521,1
21-MAR_WN-AON_0,20210521,1
21-MAR_WN-PON_0,20210521,1
21-MAR_DE-AON_0,20210521,1
21-MAR_LW-AON_0,20210521,1
21-MAR_AMZON_0,20210521,1
21-MAR_AMZON_5,20210522,1
21-MAR_AMZON_6,20210523,1
21-MAR_DE-PON_0,20210524,1
21-MAR_JG-PON_0,20210524,1
21-MAR_LW-PON_0,20210524,1
21-MAR_MPON_0,20210524,1
21-MAR_MS-PON_0,20210524,1
21-MAR_NH-AON_0,20210524,1
21-MAR_NH-PON_0,20210524,1
21-MAR_RR-AON_0,20210524,1
21-MAR_RR-PON_0,20210524,1
21-MAR_WN-AON_0,20210524,1
21-MAR_WN-PON_0,20210524,1
21-MAR_DE-AON_0,20210524,1
21-MAR_B2-630ON_0,20210524,1
21-MAR_LW-AON_0,20210524,1
21-MAR_AMZON_0,20210524,1
21-MAR_DE-PON_0,20210525,1
21-MAR_JG-PON_0,20210525,1
21-MAR_LW-PON_0,20210525,1
21-MAR_MPON_0,20210525,1
21-MAR_MS-PON_0,20210525,1
21-MAR_NH-AON_0,20210525,1
21-MAR_NH-PON_0,20210525,1
21-MAR_RR-AON_0,20210525,1
21-MAR_RR-PON_0,20210525,1
21-MAR_WN-AON_0,20210525,1
21-MAR_WN-PON_0,20210525,1
21-MAR_DE-AON_0,20210525,1
21-MAR_B2-630ON_0,20210525,1
21-MAR_LW-AON_0,20210525,1
21-MAR_AMZON_0,20210525,1
21-MAR_DE-PON_0,20210526,1
21-MAR_JG-PON_0,20210526,1
21-MAR_LW-PON_0,20210526,1
21-MAR_MPON_0,20210526,1
21-MAR_MS-PON_0,20210526,1
21-MAR_NH-AON_0,20210526,1
21-MAR_NH-PON_0,20210526,1
21-MAR_RR-AON_0,20210526,1
21-MAR_RR-PON_0,20210526,1
21-MAR_WN-AON_0,20210526,1
21-MAR_WN-PON_0,20210526,1
21-MAR_DE-AON_0,20210526,1
21-MAR_B2-630ON_0,20210526,1
21-MAR_LW-AON_0,20210526,1
21-MAR_AMZON_0,20210526,1
21-MAR_B2-1ON_0,20210527,1
21-MAR_DE-PON_0,20210527,1
