stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10209,10209,"38th St & Elizabeth St",,  39.825659, -86.052011,,,0,
10210,10210,"38th St & Massachusetts Ave",,  39.825670, -86.048952,,,0,
10211,10211,"38th St & Shadeland Ave",,  39.825687, -86.045417,,,0,
10212,10212,"38th St & Whenner Dr",,  39.825679, -86.043640,,,0,
10213,10213,"38th St & Kercheval Dr",,  39.825678, -86.040386,,,0,
10215,10215,"38th St & Richardt St",,  39.825671, -86.036587,,,0,
10216,10216,"38th St - 7900 E",,  39.825663, -86.034750,,,0,
10217,10217,"Franklin Rd & 38th St",,  39.826331, -86.026842,,,0,
10218,10218,"Franklin Rd - Sports Center",,  39.828735, -86.026904,,,0,
10219,10219,"42nd St & Franklin Rd",,  39.832944, -86.026641,,,0,
10220,10220,"42nd St & Arborcrest Dr",,  39.833252, -86.022940,,,0,
10222,10222,"42nd St & Aspen Way",,  39.833290, -86.019611,,,0,
10224,10224,"42nd St & Private Dr-Missionary Christian Church",,  39.833306, -86.016146,,,0,
10226,10226,"42nd St & Biscayne Rd",,  39.833304, -86.012154,,,0,
10227,10227,"42nd St & Post Rd",,  39.833301, -86.010588,,,0,
10228,10228,"42nd St & Torino Ct",,  39.833338, -86.008248,,,0,
10229,10229,"42nd St & Mount Vernon Ct",,  39.833411, -86.005863,,,0,
10230,10230,"42nd St & Cordell St",,  39.833427, -86.003014,,,0,
10231,10231,"42nd St & Baker Dr",,  39.833491, -85.999913,,,0,
10232,10232,"42nd St & Burrwood Dr",,  39.833528, -85.997560,,,0,
10233,10233,"42nd St & Mitthoefer Rd",,  39.833614, -85.991435,,,0,
10234,10234,"Mitthoefer Rd & Ellis Dr",,  39.832481, -85.991224,,,0,
10235,10235,"Mitthoefer Rd & Montery Rd",,  39.830910, -85.991198,,,0,
10236,10236,"Mitthoefer Rd & Catalina Dr",,  39.828552, -85.991177,,,0,
