,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,stop_x,stop_y
132,42.740876,0,3690,-84.52365,,,,E SAGINAW ST & N CLEMENS AVE,EBD Saginaw before Clemens Ave,0,3690,,994460.0536190005,685326.6460095199
133,42.718215,0,5670,-84.411139,,,,1729 W GRAND RIVER AVE & COUNTRY WAY DR E,WBD Grand River past Dobie,0,5670,,1003669.005389227,682806.5943462191
134,42.7158,0,5672,-84.399552,,,,W GRAND RIVER AVE & PADDOCK DR,EBD Gr River past Paddock Farms,0,5672,,1004617.80047129,682538.7708580017
135,42.684992,0,5673,-84.534536,,,,TRANTER ST & CATA HEADQUARTERS,NBD Tranter past Rensen,0,5673,,993563.1054679549,679116.127393859
136,42.721095,0,3836,-84.531015,,,,PERKINS ST & DAKIN ST,WBD Perkins past Dakin St,0,3836,,993855.2721713104,683128.5457332984
137,42.73721,0,4359,-84.53977,,,,E SHIAWASSEE ST & HAAG CT,WBD Shiawassee at Haag Ct,0,4359,,993140.4189440745,684920.4143612417
138,42.711333,0,1809,-84.552945,,,,S WASHINGTON AVE & Mt Hope,NBD Washington before Mt Hope A,0,1809,,992058.6815171517,682045.4484302943
139,42.665669,0,5678,-84.542444,,,,EDGEWOOD BLVD & CEDAR CONN/CEDAR RAMP,WBD Edgewood past Cedar,0,5678,,992913.0179001091,676969.1845066036
140,42.665008,0,5679,-84.544138,,,,EDGEWOOD BLVD & PARIS AVE,WBD Edgewood past Amwood,0,5679,,992774.1295603882,676895.8708338521
141,42.682631,0,6003,-84.561936,,,,,WBD Jolly before Washington,0,6003,,991318.3133513539,678856.2943428452
142,42.730068,0,2046,-84.527641,,,,E KALAMAZOO ST & LATHROP ST,WBD Kalamazoo past Allen St,0,2046,,994132.3714147174,684125.6268985828
143,42.712971,0,4812,-84.480464,,,,COMMUTER LOT 89,Commuter Lot 89-3,0,4812,,997993.3144162754,682223.0216289766
144,42.688371,0,4428,-84.607735,,,,SEAWAY DR & GLENBURNE BLVD,SBD Seaway before Burneway Dr,0,4428,,987567.7873667778,679500.2740933914
145,42.68659,0,4429,-84.60566,,,,BURNEWAY DR & GLENBURNE BLVD,EBD Burneway past Seaway Dr,0,4429,,987737.3805557921,679302.0081986552
146,42.758457,0,2523,-84.475935,,,,E LAKE LANSING RD & BIRCH ROW DR,WBD Lake Lansing past Towar Ave,0,2523,,998365.3850606071,687278.6617937505
147,42.729081,0,5579,-84.549167,,,,CHERRY ST & E LENAWEE ST,SBD Cherry past Kalamazoo,0,5579,,992370.3029137503,684017.7304603643
148,42.729982,0,5578,-84.521717,,,,E KALAMAZOO ST & S MAGNOLIA AVE,WBD Kalamazoo past Magnolia,0,5578,,994617.2535816372,684115.6535282957
149,42.627017,0,33,-84.522224,,,,DAVLIND DR & AURELIUS RD,WBD Davlind before Aurelius,0,33,,994566.3198034056,672671.8536499192
150,42.741136,0,1842,-84.61713,,,,E SAGINAW HWY & THEO AVE,WBD Saginaw past Maycroft Rd,0,1842,,986810.0089753243,685366.4362603975
151,42.735887,0,4819,-84.480647,,,,MAC AVE & MARIOTT SERVICE DRIVE,NBD MAC past Albert,0,4819,,997979.1136476485,684770.0975667054
152,42.741173,0,1840,-84.609636,,,,E SAGINAW HWY & CLARK RD,WBD Saginaw past Clark Rd,0,1840,,987423.2984846595,685369.3476579497
153,42.74094,0,1847,-84.630626,,,,S SERVICE DR & K MART LOT,EBD Saginaw past Mall Dr,0,1847,,985705.4984761084,685346.9582674976
154,42.681355,0,36,-84.547934,,,,S CEDAR ST,NBD Cedar before Jolly,0,36,,992465.1577886647,678713.0630307532
155,42.745439,0,1845,-84.623004,,,,W MALL DR & E MALL DR,WBD Mall Dr W after Elmwood Rd,0,1845,,986330.2962871839,685845.6963287645
156,42.741502,0,1844,-84.622364,,,,ELMWOOD RD & IRIS AVE,NBD Elmwood past Saginaw St,0,1844,,986381.7617805795,685407.9899178664
157,42.75742,0,6076,-84.483843,,,,,SBD Abbot before Asher,0,6076,,997718.3713707459,687163.5899202002
158,42.759266,0,6075,-84.48631,,,,,EBD Lake Lansing before Asher Ct,0,6075,,997516.6137475249,687368.8495278012
159,42.721706,0,3091,-84.424861,,,,W GRAND RIVER AVE & W OTTAWA ST,WBD Gr. River past Mall Entrance,0,3091,,1002545.4598751271,683194.0803727331
