route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
901,0,,METRO Blue Line,Blue Line - Mpls - Airport - MOA,0,https://www.metrotransit.org/route/blue,0055A5,ffffff,1
902,0,,METRO Green Line,Green Line - Mpls - St Paul,0,https://www.metrotransit.org/route/green,00B100,ffffff,2
906,10,,Airport Shuttle,Light Rail Shuttle - Lindbergh - Humphrey,0,https://www.metrotransit.org/route/airprt,0055A5,ffffff,3
903,0,,METRO Red Line,Red Line -  Apple Valley - Eagan - Mall of America,3,https://www.metrotransit.org/route/red,ed1b2e,ffffff,4
921,0,,METRO A Line,A Line - Roseville-Snelling Av 46th St,3,https://www.metrotransit.org/route/aline,58595B,ffffff,5
923,0,,METRO C Line,C Line - Penn Av - Brooklyn Center,3,https://www.metrotransit.org/route/cline,58595B,ffffff,6
888,0,,Northstar Commuter Rail,Northstar - Big Lake - Elk River - Anoka - Mpls,2,https://www.metrotransit.org/route/nstar,ffff00,000000,7
887,15,,Northstar Link,Northstar Link - St Cloud Link,3,https://www.metrotransit.org/route/link,ffff00,000000,8
2,0,2,,Franklin Av - Riverside Av - U of M - 8th St SE,3,https://www.metrotransit.org/route/2,,000000,9
3,0,3,,U of M - Como Av - Energy Park Dr - Maryland Av,3,https://www.metrotransit.org/route/3,,000000,10
4,0,4,,New Brighton - Johnson St - Bryant Av - Southtown,3,https://www.metrotransit.org/route/4,,000000,11
5,0,5,,Brooklyn Ctr - Fremont - 26th Av - Chicago - MOA,3,https://www.metrotransit.org/route/5,,000000,12
6,0,6,,U of M - Hennepin - Xerxes - France - Southdale,3,https://www.metrotransit.org/route/6,,000000,13
7,0,7,,Plymouth - 27 Av - Minnehaha - 46 St Sta - 34 Av S,3,https://www.metrotransit.org/route/7,,000000,14
9,0,9,,Glenwood - Wayzata Blvd - Cedar Lk Rd - 46 St Sta,3,https://www.metrotransit.org/route/9,,000000,15
10,0,10,,Central Av - University Av - Northtown,3,https://www.metrotransit.org/route/10,,000000,16
11,0,11,,Columbia Heights - 2nd St NE - 4th Av S,3,https://www.metrotransit.org/route/11,,000000,17
12,0,12,,Uptown - Excelsior Blvd - Hopkins - Opus,3,https://www.metrotransit.org/route/12,,000000,18
14,0,14,,Robbinsdale - West Broadway - Bloomington Av,3,https://www.metrotransit.org/route/14,,000000,19
16,2,16,,University Av - Midway,3,https://www.metrotransit.org/route/16,,000000,20
17,0,17,,Minnetonka Blvd - Uptown - Washington St NE,3,https://www.metrotransit.org/route/17,,000000,21
18,0,18,,Nicollet Av -Grand Av - South Bloomington,3,https://www.metrotransit.org/route/18,,000000,22
19,0,19,,Olson Memorial Hwy - Penn Av N - Brooklyn Center,3,https://www.metrotransit.org/route/19,,000000,23
21,0,21,,Uptown - Lake St - Midway - Selby  Av,3,https://www.metrotransit.org/route/21,,000000,24
22,0,22,,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,3,https://www.metrotransit.org/route/22,,000000,25
23,0,23,,Uptown - 38th St - Highland Village,3,https://www.metrotransit.org/route/23,,000000,26
25,0,25,,Northtown - Silver Lake - Stinson - Lake of Isles,3,https://www.metrotransit.org/route/25,,000000,27
27,2,27,,Lake St Sta - 26th St - 28St,3,https://www.metrotransit.org/route/27,,000000,28
30,2,30,,Broadway Crosstown - Westgate Sta,3,https://www.metrotransit.org/route/30,,000000,29
32,0,32,,Robbinsdale - Lowry Av - Rosedale,3,https://www.metrotransit.org/route/32,,000000,30
46,0,46,,50St - 46St - 46St Sta - Highland Village,3,https://www.metrotransit.org/route/46,,000000,31
54,0,54,,Ltd Stop - W 7 St - Airport - MOA - Maplewood Mall,3,https://www.metrotransit.org/route/54,,000000,32
61,0,61,,E Hennepin Av - Larpenteur Av - Arcade St,3,https://www.metrotransit.org/route/61,,000000,33
62,0,62,,Shoreview - Little Canada - Rice St - Signal Hills,3,https://www.metrotransit.org/route/62,,000000,34
63,0,63,,Raymond Sta - Grand Av - Sunray - McKnight Rd,3,https://www.metrotransit.org/route/63,,000000,35
64,0,64,,Payne - Maryland - White Bear Av - Maplewood Mall,3,https://www.metrotransit.org/route/64,,000000,36
65,0,65,,Dale St - Co Rd B - Rosedale,3,https://www.metrotransit.org/route/65,,000000,37
67,2,67,,W Minnehaha Av - Raymond Sta - Franklin Av,3,https://www.metrotransit.org/route/67,,000000,38
