,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location,stop_x,stop_y
55,161,0161,S Broom & W Doty (NB),This stop (#0161) is northbound on the 199 block of Broom St (S) farside Doty St (W),43.070146,-89.387071,MMT,CMAD,0,,1,0.0,1,S Broom,199,W Doty,598950.1513881038,734234.1551742103
56,162,0162,S Park & Meriter (SB),This stop (#0162) is southbound on the 100 block of Park St (S) adjacent Meriter Hospital,43.065091,-89.400997,MMT,CMAD,0,,2,180.0,1,S Park,100,Meriter,597784.415471658,733742.7599399327
57,166,0166,Rimrock & John Nolen (WB),This stop (#0166) is westbound on the 2000 block of Rimrock Rd farside John Nolen Dr,43.045854,-89.375546,MMT,TMAD,0,,1,270.0,1,Rimrock,2000,John Nolen,599721.1102812418,731480.8974909234
58,167,0167,S Mills & Mound (NB),This stop (#0167) is northbound on the 201 block of Mills St (S) nearside Mound St,43.065181,-89.403898,MMT,CMAD,0,,3,0.0,1,S Mills,201,Mound,597549.3700369261,733767.2682913254
59,168,0168,W Washington & N Henry (WB),This stop (#0168) is westbound on the 298 block of W Washington Ave nearside Henry St (N),43.072787,-89.38707,MMT,CMAD,0,,3,270.0,1,W Washington,298,N Henry,598968.2354834825,734527.238029639
60,170,0170,Fish Hatchery & Catalpa (SB),This stop (#0170) is southbound on the 2198 block of Fish Hatchery Rd nearside Catalpa Rd,43.041645,-89.404114,MMT,CMAD,0,,3,180.0,1,Fish Hatchery,2198,Catalpa,597370.8347649642,731156.4939828538
61,171,0171,Fisher & Dane (NB),This stop (#0171) is northbound on the 2101 block of Fisher St nearside Dane St,43.042923,-89.39175,MMT,CMAD,0,,3,0.0,1,Fisher,2101,Dane,598384.3404554046,731236.4620248992
62,173,0173,W Badger & Cypress (EB),This stop (#0173) is eastbound on the 901 block of Badger Rd (W) nearside Cypress Way,43.03843,-89.397946,MMT,TMAD,0,,3,90.0,1,W Badger,901,Cypress,597850.1255219529,730768.842319156
63,174,0174,S Park & Fish Hatchery (SB),This stop (#0174) is southbound on the 1000 block of Park St (S) farside Fish Hatchery Rd,43.056451,-89.398716,MMT,CMAD,0,,1,180.0,1,S Park,1000,Fish Hatchery,597910.6770211982,732772.533130914
64,178,0178,University & N Orchard (WB),This stop (#0178) is westbound on the 1300 block of University Ave farside Orchard St (N),43.073427,-89.407056,MMT,CMAD,0,,1,270.0,1,University,1300,N Orchard,597349.2705719466,734698.1780098754
65,180,0180,N Park & W Dayton (SB),This stop (#0180) is southbound on the 200 block of Park St (N) nearside Dayton St (W),43.071098,-89.401081,MMT,CMAD,0,,3,180.0,1,N Park,200,W Dayton,597818.6556784762,734409.8044211206
66,181,0181,S Park & Beld (NB),This stop (#0181) is northbound on the 1399 block of Park St (S) farside Beld St,43.052252,-89.394806,MMT,CMAD,0,,1,0.0,1,S Park,1399,Beld,598199.6839281961,732287.0030695843
67,184,0184,Linden & Henry (WB),This stop (#0184) is westbound on the 1498 block of Linden Dr nearside Henry Mall,43.075254,-89.410413,MMT,UWIS,0,,3,270.0,1,Linden,1498,Henry,597089.1196059793,734917.7503305983
68,192,0192,W Olin & Hickory (WB),This stop (#0192) is westbound on the 598 block of Olin Ave (W) nearside Hickory St,43.054087,-89.391967,MMT,CMAD,0,,3,270.0,1,W Olin,598,Hickory,598442.8811572953,732476.452555106
69,195,0195,S Park & Park House (NB),This stop (#0195) is northbound on the 1801 block of Park St (S) adjacent Park House,43.04705,-89.393808,MMT,CMAD,0,,2,0.0,1,S Park,1801,Park House,598245.2659844011,731704.7317280455
70,196,0196,S Mills & Regent (SB),This stop (#0196) is southbound on the 2 block of Mills St (S) farside Regent St,43.067446,-89.404206,MMT,CMAD,0,,1,180.0,1,S Mills,2,Regent,597539.8432144634,734020.1668069928
71,203,0203,Rimrock & E Rusk (NB),This stop (#0203) is northbound on the 2199 block of Rimrock Rd farside Rusk Ave (E),43.043214,-89.376979,MMT,TMAD,0,,1,0.0,1,Rimrock,2199,E Rusk,599586.7021564634,731195.062775186
72,208,0208,Regent & N Orchard (WB),This stop (#0208) is westbound on the 1298 block of Regent St nearside Orchard St (N),43.067849,-89.407131,MMT,CMAD,0,,3,270.0,1,Regent,1298,N Orchard,597305.0009384314,734079.5390817071
73,217,0217,S Park & W Washington (NB),This stop (#0217) is northbound on the 399 block of Park St (S) farside W Washington Ave,43.063668,-89.400528,MMT,CMAD,0,,1,0.0,1,S Park,399,W Washington,597812.7879383183,733582.4968822405
74,222,0222,Fisher & Bram (SB),This stop (#0222) is southbound on the 1900 block of Fisher St farside Bram St,43.045474,-89.391946,MMT,CMAD,0,,1,180.0,1,Fisher,1900,Bram,598385.8184856675,731520.5332033866
75,225,0225,W Washington & Park View (EB),This stop (#0225) is eastbound on the 749 block of W Washington Ave adjacent Park View,43.066066,-89.396121,MMT,CMAD,0,,2,90.0,1,W Washington,749,Park View,598187.1740522706,733826.5730817461
76,226,0226,Regent & W Washington (WB),This stop (#0226) is westbound on the 601 block of Regent St farside W Washington Ave,43.067615,-89.396589,MMT,CMAD,0,,1,270.0,1,Regent,601,W Washington,598159.7361596902,734000.812670907
77,234,0234,University & N Mills (WB),This stop (#0234) is westbound on the 1098 block of University Ave nearside Mills St (N),43.073427,-89.403883,MMT,CMAD,0,,3,270.0,1,University,1098,N Mills,597606.9902403776,734682.2884093168
